,Knife crime injuries Aug 2015 to Aug 2016
Hillingdon,40
Harrow,30
Brent,70
Ealing,67
Hounslow,51
Richmond upon Thames,Fewer than 10
Kingston upon Thames,11
Camden,57
Westminster,38
Kensington and Chelsea,43
Hammersmith and Fulham,31
Wandsworth,36
Merton,32
Sutton,19
Barnet,61
Enfield,45
Haringey,92
Islington,81
Southwark,95
Lambeth,110
Croydon,84
Waltham Forest,53
Newham,96
Tower Hamlets,106
Hackney,76
Lewisham,71
Bromley,28
Greenwich,63
Bexley,14
Havering,22
Barking and Dagenham,60
Redbridge,57
